City,2016_Pop,2017_Pop,Pop_Change,Percent_Change,State
"Cedar Rapids, Iowa",131051,132228,1177,0.9,Iowa
"Moore, Oklahoma",60976,61523,547,0.9,Oklahoma
"San Marcos, California",95346,96198,852,0.9,California
"Edina, Minnesota",51500,51958,458,0.9,Minnesota
"Fresno, California",522792,527438,4646,0.9,California
"Blue Springs, Missouri",54462,54945,483,0.9,Missouri
"Hemet, California",84419,85160,741,0.9,California
"Highland, California",54864,55342,478,0.9,California
"Sanford, Florida",58806,59317,511,0.9,Florida
"Pocatello, Idaho",54718,55193,475,0.9,Idaho
"Oakland, California",421566,425195,3629,0.9,California
"Orlando, Florida",277879,280257,2378,0.9,Florida
"West Sacramento, California",53059,53512,453,0.9,California
"Carson City, Nevada",54283,54745,462,0.9,Nevada
"Cerritos, California",50591,51020,429,0.8,California
"Oxnard, California",208303,210037,1734,0.8,California
"Logan, Utah",50697,51115,418,0.8,Utah
"Mission, Texas",83740,84424,684,0.8,Texas
"Loveland, Colorado",76080,76701,621,0.8,Colorado
"Gaithersburg, Maryland",68158,68710,552,0.8,Maryland
"Tamarac, Florida",65146,65669,523,0.8,Florida
"Corona, California",166507,167836,1329,0.8,California
"Bloomington, Indiana",84400,85071,671,0.8,Indiana
"North Richland Hills, Texas",69891,70441,550,0.8,Texas
"Asheville, North Carolina",91190,91902,712,0.8,North Carolina
"Tucson, Arizona",531547,535677,4130,0.8,Arizona
"Richmond, Virginia",225288,227032,1744,0.8,Virginia
"Wellington village, Florida",64351,64848,497,0.8,Florida
"Pompano Beach, Florida",109634,110473,839,0.8,Florida
"Fort Wayne, Indiana",263893,265904,2011,0.8,Indiana
"Brooklyn Park, Minnesota",79972,80581,609,0.8,Minnesota
"Charleston, South Carolina",133859,134875,1016,0.8,South Carolina
"Orem, Utah",97111,97839,728,0.7,Utah
"Tempe, Arizona",183683,185038,1355,0.7,Arizona
"Santa Cruz, California",64545,65021,476,0.7,California
"Bismarck, North Dakota",72332,72865,533,0.7,North Dakota
"Las Cruces, New Mexico",100973,101712,739,0.7,New Mexico
"Delano, California",52752,53138,386,0.7,California
"Cincinnati, Ohio",299127,301301,2174,0.7,Ohio
"Miramar, Florida",139322,140328,1006,0.7,Florida
"Costa Mesa, California",113018,113825,807,0.7,California
"Bossier City, Louisiana",68071,68554,483,0.7,Louisiana
"Euless, Texas",54786,55174,388,0.7,Texas
"Largo, Florida",84161,84754,593,0.7,Florida
"Rancho Cucamonga, California",176213,177452,1239,0.7,California
"Oklahoma City, Oklahoma",639163,643648,4485,0.7,Oklahoma
"Lynn, Massachusetts",93420,94063,643,0.7,Massachusetts
"Centennial, Colorado",109498,110250,752,0.7,Colorado
"Livermore, California",89682,90295,613,0.7,California
"Santa Maria, California",106302,107014,712,0.7,California
"Lakewood, Colorado",153929,154958,1029,0.7,Colorado
"Hayward, California",159445,160500,1055,0.7,California
