"World TOP 20 Countries with highest primary energy production 
 in 2014 (Mtoe)", ,Biodiesel,Biomass and Waste Elec,Coal,Fuel Ethanol,Gas,Geothermal Elec,Hydroelectricity,Nuclear,Oil,"Solar, Tide and Wave Elec",Wind Elec
French Polynesia,,-,-,-,-,-,-,0.012211674340544383,-,-,-,-
Sierra Leone,,-,-,-,-,-,-,0.00933675294696242,-,0.0012871319444444445,-,-
Burkina Faso,,-,-,-,-,-,-,0.009056650358553549,-,-,-,-
Faeroe Islands,,-,-,-,-,-,-,0.007974016096756792,-,-,-,0.0010318142734307826
Togo,,-,0.00017196904557179707,-,-,-,-,0.008216342593326929,-,-,-,-
Dominica,,-,-,-,-,-,-,0.003095442820292347,-,-,-,4.299226139294927e-05
Samoa,,-,-,-,-,-,-,0.002626929945349664,-,-,1.7196904557179708e-05,-
Saint Vincent and the Grenadines,,-,-,-,-,-,-,0.001979916786170627,-,-,-,-
U.S. Pacific Islands,,-,-,-,-,-,-,0.0015477214101461735,-,-,-,-
Sao Tome and Principe,,-,-,-,-,-,-,0.0009336752946962423,-,-,-,-
Cape Verde,,-,-,-,-,-,-,-,-,-,-,0.0006018916595012897
Comoros,,-,-,-,-,-,-,0.0004480000687819132,-,-,-,-
Malta,,-,0.0002703617506666678,-,-,-,-,-,-,-,-,-
Benin,,-,8.598452278589854e-05,-,-,-,-,9.336752946962419e-05,-,-,-,-
Eritrea,,-,-,-,-,-,-,-,-,-,0.00017196904557179707,-
Falkland Islands (Malvinas),,-,-,-,-,-,-,-,-,-,-,0.00017196904557179707
Maldives,,-,-,-,-,-,-,-,-,-,1.7196904557179708e-05,-
Cook Islands,,-,-,-,-,-,-,-,-,-,8.598452278589854e-06,2.579535683576956e-06
Martinique,,-,-,-,-,-,-,-,-,-0.012634576388888888,-,0.00017196904557179707
